date,region,product,category,quantity,unit_price,revenue,cost,profit
2024-01-15,North,Widget A,Electronics,120,29.99,3598.80,2159.28,1439.52
2024-01-22,South,Widget B,Electronics,85,49.99,4249.15,2549.49,1699.66
2024-01-28,East,Gadget X,Home & Garden,200,15.99,3198.00,1918.80,1279.20
2024-02-05,West,Widget A,Electronics,95,29.99,2849.05,1709.43,1139.62
2024-02-12,North,Gadget Y,Home & Garden,150,22.50,3375.00,2025.00,1350.00
2024-02-19,South,Widget C,Electronics,110,39.99,4398.90,2639.34,1759.56
2024-02-26,East,Tool Z,Industrial,75,89.99,6749.25,4049.55,2699.70
2024-03-04,West,Gadget X,Home & Garden,180,15.99,2878.20,1726.92,1151.28
2024-03-11,North,Widget B,Electronics,130,49.99,6498.70,3899.22,2599.48
2024-03-18,South,Tool Z,Industrial,60,89.99,5399.40,3239.64,2159.76
2024-03-25,East,Widget C,Electronics,145,39.99,5798.55,3479.13,2319.42
2024-04-01,West,Gadget Y,Home & Garden,170,22.50,3825.00,2295.00,1530.00
2024-04-08,North,Widget A,Electronics,160,29.99,4798.40,2879.04,1919.36
2024-04-15,South,Gadget X,Home & Garden,210,15.99,3357.90,2014.74,1343.16
2024-04-22,East,Tool Z,Industrial,90,89.99,8099.10,4859.46,3239.64
2024-04-29,West,Widget B,Electronics,100,49.99,4999.00,2999.40,1999.60
2024-05-06,North,Widget C,Electronics,125,39.99,4998.75,2999.25,1999.50
2024-05-13,South,Gadget Y,Home & Garden,190,22.50,4275.00,2565.00,1710.00
2024-05-20,East,Widget A,Electronics,140,29.99,4198.60,2519.16,1679.44
2024-05-27,West,Tool Z,Industrial,80,89.99,7199.20,4319.52,2879.68
2024-06-03,North,Gadget X,Home & Garden,220,15.99,3517.80,2110.68,1407.12
2024-06-10,South,Widget B,Electronics,115,49.99,5748.85,3449.31,2299.54
2024-06-17,East,Widget C,Electronics,135,39.99,5398.65,3239.19,2159.46
2024-06-24,West,Gadget Y,Home & Garden,160,22.50,3600.00,2160.00,1440.00
2024-07-01,North,Tool Z,Industrial,95,89.99,8549.05,5129.43,3419.62
2024-07-08,South,Widget A,Electronics,175,29.99,5248.25,3148.95,2099.30
2024-07-15,East,Gadget X,Home & Garden,195,15.99,3118.05,1870.83,1247.22
2024-07-22,West,Widget B,Electronics,140,49.99,6998.60,4199.16,2799.44
2024-07-29,North,Widget C,Electronics,155,39.99,6198.45,3719.07,2479.38
2024-08-05,South,Gadget Y,Home & Garden,205,22.50,4612.50,2767.50,1845.00
2024-08-12,East,Tool Z,Industrial,70,89.99,6299.30,3779.58,2519.72
2024-08-19,West,Widget A,Electronics,130,29.99,3898.70,2339.22,1559.48
2024-08-26,North,Gadget X,Home & Garden,240,15.99,3837.60,2302.56,1535.04
2024-09-02,South,Widget B,Electronics,120,49.99,5998.80,3599.28,2399.52
2024-09-09,East,Widget C,Electronics,150,39.99,5998.50,3599.10,2399.40
2024-09-16,West,Gadget Y,Home & Garden,175,22.50,3937.50,2362.50,1575.00
2024-09-23,North,Tool Z,Industrial,85,89.99,7649.15,4589.49,3059.66
2024-09-30,South,Widget A,Electronics,145,29.99,4348.55,2609.13,1739.42
2024-10-07,East,Gadget X,Home & Garden,185,15.99,2958.15,1774.89,1183.26
2024-10-14,West,Widget B,Electronics,160,49.99,7998.40,4799.04,3199.36
2024-10-21,North,Widget C,Electronics,170,39.99,6798.30,4078.98,2719.32
2024-10-28,South,Gadget Y,Home & Garden,195,22.50,4387.50,2632.50,1755.00
2024-11-04,East,Tool Z,Industrial,100,89.99,8999.00,5399.40,3599.60
2024-11-11,West,Widget A,Electronics,155,29.99,4648.45,2789.07,1859.38
2024-11-18,North,Gadget X,Home & Garden,210,15.99,3357.90,2014.74,1343.16
2024-11-25,South,Widget B,Electronics,135,49.99,6748.65,4049.19,2699.46
2024-12-02,East,Widget C,Electronics,165,39.99,6598.35,3959.01,2639.34
2024-12-09,West,Gadget Y,Home & Garden,185,22.50,4162.50,2497.50,1665.00
2024-12-16,North,Tool Z,Industrial,110,89.99,9898.90,5939.34,3959.56
2024-12-23,South,Widget A,Electronics,190,29.99,5698.10,3418.86,2279.24
