order_id,invoice_id,order_date,ship_date,region,country,state,city,sales_channel,customer_segment,customer_name,sales_rep,product,category,subcategory,quantity,unit_price,discount_pct,gross_revenue,net_revenue,shipping_cost,total_cost,profit,profit_margin_pct,payment_method,order_priority,fulfillment_status,returned,satisfaction_score
SO-2024-00001,INV-000001,2024-01-18,2024-01-20,North,United States,New York,New York,Online,SMB,Northwind Retail,Marcus Lee,Nimbus Tablet,Electronics,Mobile Devices,9,594.67,0.00,5352.03,5352.03,68.17,4101.66,1250.37,23.36,ACH,Low,Processing,no,5
SO-2024-00002,INV-000002,2024-01-16,2024-01-20,West,United States,California,San Francisco,Retail,Consumer,BrightPath Stores,Jordan Reed,Summit Desk,Furniture,Office,20,437.12,0.12,8742.40,7693.31,12.54,6247.06,1446.25,18.80,Credit Card,Critical,Delivered,no,3
SO-2024-00003,INV-000003,2024-02-10,2024-02-13,East,United States,Pennsylvania,Philadelphia,Marketplace,SMB,Elevate Technologies,Jordan Reed,Terra Blender,Home Appliances,Kitchen,27,114.98,0.05,3104.46,2949.24,56.51,2207.90,741.33,25.14,Credit Card,Medium,Delivered,no,4
SO-2024-00004,INV-000004,2024-01-10,2024-01-14,South,United States,Florida,Miami,Retail,SMB,BluePeak Services,Priya Nair,Nimbus Tablet,Electronics,Mobile Devices,10,647.63,0.12,6476.30,5699.14,42.28,4260.85,1438.29,25.24,PayPal,Critical,Delivered,no,4
SO-2024-00005,INV-000005,2024-02-17,2024-02-20,South,United States,Florida,Miami,Marketplace,Consumer,BluePeak Supply,Marcus Lee,Orbit Camera,Electronics,Security,28,236.47,0.00,6621.16,6621.16,31.01,3431.48,3189.68,48.17,PayPal,Critical,Delivered,no,5
SO-2024-00006,INV-000006,2024-01-22,2024-01-24,South,United States,Texas,Dallas,Retail,Government,Summit Supply,Jordan Reed,Vertex Monitor,Electronics,Displays,9,406.93,0.08,3662.37,3369.38,33.81,2221.85,1147.53,34.06,Credit Card,Low,Processing,no,3
SO-2024-00007,INV-000007,2024-02-14,2024-02-15,West,United States,California,San Francisco,Inside Sales,Consumer,BluePeak Foods,Jordan Reed,Pulse Headphones,Electronics,Accessories,14,185.07,0.05,2590.98,2461.43,55.92,1593.20,868.23,35.27,Invoice,Critical,Delivered,no,3
SO-2024-00008,INV-000008,2024-01-24,2024-01-29,North,United States,New York,New York,Retail,Enterprise,Greenline Technologies,Daniel Brooks,Vertex Monitor,Electronics,Displays,26,351.12,0.00,9129.12,9129.12,84.25,6194.56,2934.56,32.15,PayPal,Low,Delivered,no,3
SO-2024-00009,INV-000009,2024-01-24,2024-01-25,East,United States,Virginia,Richmond,Marketplace,SMB,Greenline Homes,Elena Cruz,Terra Blender,Home Appliances,Kitchen,9,142.97,0.00,1286.73,1286.73,19.11,697.31,589.42,45.81,ACH,Critical,Delivered,no,3
SO-2024-00010,INV-000010,2024-02-24,2024-02-27,South,United States,Florida,Miami,Inside Sales,Enterprise,SilverOak Logistics,Marcus Lee,Orbit Camera,Electronics,Security,14,249.38,0.10,3491.32,3142.19,42.99,1926.86,1215.33,38.68,ACH,Medium,Delivered,no,3
